Division Number: 51
Division Date: 29 November 2024 - 14:08

Terminally Ill Adults (End of Life) Bill: Second Reading

Aye Count: 330
No Count: 275
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Rachel Gilmour","Liberal Democrat","Tiverton and Minehead","Aye",""
"Becky Gittins","Labour","Clwyd East","Aye",""
"John Glen","Conservative","Salisbury","No",""
"Mary Glindon","Labour","Newcastle upon Tyne East and Wallsend","No",""
"Olly Glover","Liberal Democrat","Didcot and Wantage","Aye",""
"Marie Goldman","Liberal Democrat","Chelmsford","Aye",""
"Ben Goldsborough","Labour","South Norfolk","No",""
"Tom Gordon","Liberal Democrat","Harrogate and Knaresborough","Aye",""
"Jodie Gosling","Labour","Nuneaton","Aye",""
"Georgia Gould","Labour","Queen's Park and Maida Vale","Aye",""
"John Grady","Labour","Glasgow East","No",""
"Helen Grant","Conservative","Maidstone and Malling","No",""
"Sarah Green","Liberal Democrat","Chesham and Amersham","Aye",""
"Lilian Greenwood","Labour","Nottingham South","Aye",""
"Andrew Griffith","Conservative","Arundel and South Downs","No",""
"Nia Griffith","Labour","Llanelli","No",""
"Alison Griffiths","Conservative","Bognor Regis and Littlehampton","No",""
"Andrew Gwynne","Labour","Gorton and Denton","No Vote Recorded",""
"Amanda Hack","Labour","North West Leicestershire","Aye",""
"Louise Haigh","Labour","Sheffield Heeley","Aye",""
"Sarah Hall","Labour","Warrington South","Aye",""
"Fabian Hamilton","Labour","Leeds North East","Aye",""
"Paulette Hamilton","Labour","Birmingham Erdington","No",""
"Claire Hanna","Social Democratic & Labour Party","Belfast South and Mid Down","No Vote Recorded",""
"Monica Harding","Liberal Democrat","Esher and Walton","No",""
"Emma Hardy","Labour","Kingston upon Hull West and Haltemprice","Aye",""
"Emma Hardy","Labour","Kingston upon Hull West and Haltemprice","No",""
"Carolyn Harris","Labour","Neath and Swansea East","No Vote Recorded",""
"Rebecca Harris","Conservative","Castle Point","No",""
"Lloyd Hatton","Labour","South Dorset","Aye",""
"Helen Hayes","Labour","Dulwich and West Norwood","No",""
"John Hayes","Conservative","South Holland and The Deepings","No",""
"Tom Hayes","Labour","Bournemouth East","Aye",""
"Claire Hazelgrove","Labour","Filton and Bradley Stoke","Aye",""
"Chris Hazzard","Sinn Féin","South Down","No Vote Recorded",""
"John Healey","Labour","Rawmarsh and Conisbrough","Aye",""
"Mark Hendrick","Labour","Preston","No",""
"Pippa Heylings","Liberal Democrat","South Cambridgeshire","Aye",""
"Meg Hillier","Labour","Hackney South and Shoreditch","No",""
"Chris Hinchliff","Labour","North East Hertfordshire","Aye",""
"Jonathan Hinder","Labour","Pendle and Clitheroe","Aye",""
"Damian Hinds","Conservative","East Hampshire","No",""
"Simon Hoare","Conservative","North Dorset","No",""
"Wera Hobhouse","Liberal Democrat","Bath","Aye",""
"Sharon Hodgson","Labour","Washington and Gateshead South","Aye",""
"Richard Holden","Conservative","Basildon and Billericay","No",""
"Kevin Hollinrake","Conservative","Thirsk and Malton","Aye",""
"Paul Holmes","Conservative","Hamble Valley","No",""
"Rachel Hopkins","Labour","Luton South and South Bedfordshire","Aye",""
"Lindsay Hoyle","Speaker","Chorley","No Vote Recorded",""
"Nigel Huddleston","Conservative","Droitwich and Evesham","No",""
"Neil Hudson","Conservative","Epping Forest","No",""
"Claire Hughes","Labour","Bangor Aberconwy","Aye",""
"Dáire Hughes","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Alison Hume","Labour","Scarborough and Whitby","Aye",""
"Jeremy Hunt","Conservative","Godalming and Ash","Aye",""
"Rupa Huq","Labour","Ealing Central and Acton","No",""
"Patrick Hurley","Labour","Southport","No",""
"Imran Hussain","Independent","Bradford East","No",""
"Adnan Hussain","Independent","Blackburn","No",""
"Leigh Ingham","Labour","Stafford","Aye",""
"Natasha Irons","Labour","Croydon East","Aye",""
"Sally Jameson","Labour","Doncaster Central","No",""
"Christine Jardine","Liberal Democrat","Edinburgh West","Aye",""
"Dan Jarvis","Labour","Barnsley North","Aye",""
"Liz Jarvis","Liberal Democrat","Eastleigh","Aye",""
"Bernard Jenkin","Conservative","Harwich and North Essex","No",""
"Robert Jenrick","Conservative","Newark","No",""
"Terry Jermy","Labour","South West Norfolk","Aye",""
"Adam Jogee","Labour","Newcastle-under-Lyme","No",""
"Diana Johnson","Labour","Kingston upon Hull North and Cottingham","Aye",""
"Caroline Johnson","Conservative","Sleaford and North Hykeham","No",""
"Kim Johnson","Labour","Liverpool Riverside","Aye",""
"Clive Jones","Liberal Democrat","Wokingham","Aye",""
"Darren Jones","Labour","Bristol North West","No",""
"Gerald Jones","Labour","Merthyr Tydfil and Aberdare","Aye",""
"Lillian Jones","Labour","Kilmarnock and Loudoun","No",""
"Louise Jones","Labour","North East Derbyshire","Aye",""
"Ruth Jones","Labour","Newport West and Islwyn","No",""
"Sarah Jones","Labour","Croydon West","Aye",""
"Lincoln Jopp","Conservative","Spelthorne","No",""
"Gurinder Singh Josan","Labour","Smethwick","No",""
"Sojan Joseph","Labour","Ashford","No",""
"Warinder Juss","Labour","Wolverhampton West","Aye",""
"Chris Kane","Labour","Stirling and Strathallan","Aye",""
"Mike Kane","Labour","Wythenshawe and Sale East","No",""
"Satvir Kaur","Labour","Southampton Test","No",""
"Alicia Kearns","Conservative","Rutland and Stamford","Aye",""
"Liz Kendall","Labour","Leicester West","Aye",""
"Afzal Khan","Labour","Manchester Rusholme","No Vote Recorded",""
"Ayoub Khan","Independent","Birmingham Perry Barr","No",""
"Naushabah Khan","Labour","Gillingham and Rainham","No",""
"Stephen Kinnock","Labour","Aberafan Maesteg","Aye",""
"Jayne Kirkham","Labour","Truro and Falmouth","Aye",""
"Gen Kitchen","Labour","Wellingborough and Rushden","Aye",""
"Paul Kohler","Liberal Democrat","Wimbledon","No",""
"Danny Kruger","Conservative","East Wiltshire","No",""
"Sonia Kumar","Labour","Dudley","Aye",""
"Uma Kumaran","Labour","Stratford and Bow","No",""
"Peter Kyle","Labour","Hove and Portslade","Aye",""
"Laura Kyrke-Smith","Labour","Aylesbury","Aye",""
